iter	Passed	Remaining
0	143	143766
1	145	72537
2	146	48742
3	148	36866
4	149	29752
5	150	25001
6	152	21590
7	153	19057
8	155	17075
9	156	15500
10	158	14217
11	160	13174
12	161	12257
13	162	11473
14	164	10817
15	166	10214
16	167	9686
17	168	9210
18	170	8787
19	171	8418
20	173	8087
21	174	7773
22	176	7485
23	177	7219
24	178	6974
25	180	6750
26	181	6546
27	183	6352
28	184	6179
29	185	6012
30	187	5854
31	188	5708
32	190	5569
33	191	5438
34	192	5312
35	194	5196
36	195	5086
37	196	4979
38	198	4883
39	199	4796
40	201	4706
41	202	4620
42	203	4539
43	205	4459
44	206	4385
45	208	4315
46	209	4246
47	210	4180
48	212	4120
49	213	4060
50	215	4002
51	216	3948
52	217	3893
53	219	3842
54	220	3792
55	222	3743
56	223	3696
57	224	3651
58	226	3613
59	228	3575
60	229	3537
61	231	3498
62	232	3460
63	234	3425
64	235	3389
65	237	3355
66	238	3320
67	239	3278
68	240	3245
69	242	3215
70	243	3186
71	244	3156
72	246	3128
73	247	3099
74	249	3073
75	250	3045
76	251	3018
77	253	2993
78	254	2969
79	255	2943
80	257	2918
81	258	2895
82	260	2874
83	261	2853
84	262	2826
85	263	2805
86	264	2779
87	266	2759
88	267	2741
89	269	2723
90	270	2706
91	272	2688
92	273	2669
93	275	2652
94	276	2634
95	277	2616
96	279	2598
97	280	2582
98	282	2566
99	283	2552
100	285	2536
101	285	2515
102	287	2500
103	288	2484
104	289	2469
105	291	2455
106	292	2439
107	293	2425
108	295	2412
109	296	2397
110	297	2385
111	299	2374
112	300	2361
113	302	2348
114	303	2336
115	304	2321
116	306	2309
117	307	2297
118	308	2283
119	309	2271
120	311	2264
121	313	2255
122	314	2239
123	315	2229
124	317	2220
125	318	2210
126	320	2201
127	321	2188
128	322	2179
129	324	2172
130	327	2172
131	329	2164
132	331	2158
133	333	2152
134	334	2146
135	336	2137
136	337	2129
137	373	2331
138	375	2324
139	377	2316
140	380	2316
141	382	2308
142	383	2300
143	385	2292
144	388	2289
145	410	2399
146	417	2425
147	419	2417
148	438	2503
149	442	2510
150	445	2503
151	449	2507
152	451	2499
153	453	2489
154	455	2480
155	457	2475
156	470	2527
157	473	2524
158	477	2525
159	480	2521
160	484	2522
161	485	2512
162	487	2503
163	520	2651
164	522	2645
165	524	2635
166	526	2624
167	528	2616
168	530	2607
169	532	2597
170	533	2587
171	535	2576
172	537	2567
173	539	2560
174	563	2658
175	566	2653
176	570	2654
177	572	2645
178	574	2636
179	576	2626
180	577	2614
181	579	2605
182	581	2597
183	583	2588
184	586	2585
185	589	2579
186	591	2569
187	592	2560
188	594	2549
189	595	2539
190	597	2529
191	598	2518
192	600	2509
193	601	2498
194	603	2489
195	604	2479
196	605	2469
197	607	2460
198	608	2450
199	610	2441
200	611	2432
201	613	2423
202	614	2414
203	616	2404
204	617	2395
205	619	2387
206	621	2380
207	622	2370
208	624	2362
209	625	2353
210	626	2344
211	628	2336
212	629	2327
213	631	2318
214	633	2311
215	634	2303
216	636	2295
217	637	2288
218	639	2281
219	641	2272
220	642	2265
221	644	2257
222	645	2249
223	647	2242
224	649	2236
225	650	2228
226	652	2221
227	653	2213
228	655	2206
229	657	2200
230	658	2193
231	660	2186
232	661	2179
233	663	2171
234	664	2164
235	666	2158
236	668	2151
237	669	2144
238	671	2137
239	672	2130
240	674	2123
241	675	2117
242	677	2110
243	679	2104
244	680	2097
245	682	2090
246	683	2084
247	685	2077
248	686	2071
249	688	2064
250	689	2058
251	691	2052
252	692	2045
253	694	2039
254	696	2033
255	697	2027
256	699	2021
257	700	2015
258	702	2009
