iter	Passed	Remaining
0	154	154447
1	160	80321
2	164	54660
3	166	41494
4	170	33862
5	173	28727
6	175	24917
7	178	22072
8	181	19965
9	208	20655
10	210	18938
11	243	20058
12	274	20820
13	277	19526
14	285	18724
15	289	17818
16	292	16922
17	301	16450
18	304	15745
19	306	15025
20	309	14419
21	320	14262
22	349	14864
23	352	14316
24	364	14230
25	367	13751
26	368	13293
27	371	12880
28	375	12572
29	377	12211
30	394	12325
31	408	12350
32	413	12104
33	428	12181
34	430	11874
35	456	12213
36	458	11930
37	460	11669
38	471	11610
39	473	11375
40	476	11152
41	479	10946
42	483	10757
43	485	10551
44	487	10345
45	491	10183
46	499	10123
47	501	9941
48	503	9766
49	505	9600
50	506	9433
51	509	9280
52	519	9279
53	522	9160
54	525	9022
55	527	8888
56	528	8749
57	530	8621
58	545	8700
59	547	8581
60	555	8545
61	557	8430
62	559	8319
63	560	8203
64	562	8092
65	570	8076
66	573	7983
67	575	7887
68	577	7793
69	586	7797
70	589	7709
71	590	7616
72	592	7522
73	593	7429
74	602	7431
75	604	7354
76	606	7268
77	607	7184
78	609	7102
79	618	7108
80	620	7035
81	622	6968
82	623	6887
83	625	6822
84	633	6817
85	636	6765
86	639	6707
87	640	6641
88	649	6650
89	652	6593
90	654	6535
91	682	6737
92	686	6694
93	710	6851
94	714	6802
95	716	6745
96	718	6686
97	720	6630
98	782	7124
99	809	7286
100	817	7276
101	825	7263
102	828	7211
103	830	7157
104	839	7156
105	842	7102
106	844	7043
107	846	6987
108	859	7024
109	864	6992
110	867	6949
111	870	6898
112	872	6845
113	874	6798
114	879	6765
115	882	6726
116	884	6676
117	887	6631
118	896	6633
119	898	6588
120	913	6638
121	926	6669
122	929	6625
123	931	6579
124	934	6542
125	936	6499
126	939	6455
127	941	6412
128	946	6390
129	956	6399
130	970	6434
131	973	6399
132	982	6402
133	1005	6496
134	1008	6459
135	1012	6432
136	1022	6443
137	1026	6414
138	1041	6451
139	1044	6416
140	1046	6377
141	1055	6379
142	1057	6340
143	1061	6308
144	1069	6306
145	1073	6276
146	1075	6242
147	1089	6269
148	1108	6330
149	1118	6336
150	1120	6302
151	1123	6266
152	1125	6231
153	1128	6199
154	1137	6200
155	1139	6167
156	1151	6181
157	1154	6154
158	1164	6159
159	1168	6133
160	1170	6097
161	1180	6108
162	1183	6076
163	1186	6045
164	1195	6050
165	1199	6025
166	1211	6042
167	1214	6016
168	1217	5988
169	1228	5997
170	1243	6028
171	1246	5999
172	1248	5968
173	1250	5935
174	1259	5937
175	1262	5910
176	1265	5884
177	1273	5883
178	1275	5852
179	1277	5821
180	1280	5793
181	1282	5764
182	1290	5761
183	1294	5741
184	1298	5720
185	1300	5692
186	1302	5664
187	1316	5687
188	1319	5663
189	1334	5687
190	1337	5664
191	1351	5686
192	1367	5717
193	1370	5694
194	1373	5669
195	1381	5668
196	1383	5640
197	1385	5612
198	1387	5585
199	1398	5595
200	1401	5570
201	1403	5544
202	1411	5543
203	1413	5515
204	1415	5488
205	1419	5473
206	1428	5470
207	1434	5460
208	1444	5467
209	1446	5443
210	1449	5419
211	1453	5403
212	1461	5399
213	1463	5374
214	1465	5350
215	1473	5349
216	1475	5325
217	1477	5300
218	1479	5274
219	1480	5250
220	1482	5226
221	1491	5226
222	1493	5203
223	1495	5181
224	1506	5188
225	1510	5172
226	1512	5149
227	1520	5148
228	1523	5129
229	1526	5111
230	1537	5117
231	1539	5096
232	1541	5074
233	1555	5090
234	1571	5114
235	1572	5091
236	1574	5068
237	1576	5046
238	1585	5047
239	1587	5028
240	1590	5008
241	1594	4992
242	1598	4979
243	1611	4993
244	1616	4980
245	1630	4996
246	1632	4976
247	1636	4962
248	1641	4950
249	1644	4933
250	1657	4945
251	1660	4929
252	1675	4945
253	1676	4924
254	1678	4902
255	1692	4917
256	1694	4899
257	1708	4912
258	1710	4893
259	1724	4908
260	1760	4983
261	1790	5044
262	1800	5045
263	1804	5029
264	1805	5008
265	1807	4988
266	1824	5008
267	1835	5013
268	1839	4998
269	1851	5004
270	1853	4985
271	1870	5006
272	1885	5020
273	1901	5038
274	1905	5023
275	1907	5003
276	1909	4983
277	1919	4986
278	1922	4968
279	1924	4949
280	1929	4936
281	1931	4917
282	1933	4897
283	1941	4894
284	1943	4877
285	1946	4859
286	1948	4840
287	1958	4841
288	1960	4822
289	1962	4804
290	1973	4807
291	1975	4790
292	1979	4776
293	1989	4778
294	1992	4760
295	1994	4743
296	1998	4729
297	2004	4721
298	2006	4703
299	2008	4685
300	2009	4666
301	2011	4649
302	2021	4650
303	2023	4632
304	2025	4615
305	2027	4597
306	2035	4594
307	2037	4577
308	2039	4561
309	2041	4543
310	2043	4526
311	2050	4522
312	2053	4507
313	2055	4490
314	2056	4473
315	2058	4456
316	2068	4457
317	2070	4440
318	2071	4423
319	2073	4406
320	2077	4393
321	2081	4383
322	2083	4367
323	2085	4350
324	2087	4336
325	2100	4343
326	2103	4330
327	2132	4369
328	2134	4353
329	2137	4338
330	2149	4344
331	2151	4329
332	2164	4336
333	2167	4321
334	2170	4307
335	2179	4308
336	2182	4292
337	2184	4277
338	2194	4279
339	2196	4263
340	2197	4247
341	2199	4231
342	2201	4216
343	2212	4220
344	2215	4205
345	2226	4208
346	2230	4196
347	2232	4182
348	2240	4179
349	2260	4197
350	2269	4196
351	2273	4185
352	2276	4172
353	2294	4187
354	2309	4196
355	2322	4201
356	2324	4186
357	2340	4197
358	2386	4260
359	2389	4247
360	2391	4232
361	2400	4230
362	2407	4224
363	2409	4209
364	2411	4194
365	2491	4315
366	2495	4303
367	2506	4304
368	2512	4296
369	2528	4306
370	2544	4313
371	2547	4300
372	2579	4335
373	2587	4331
374	2590	4318
375	2592	4303
376	2595	4288
377	2604	4285
378	2606	4270
379	2608	4256
380	2610	4241
381	2614	4229
382	2618	4218
383	2621	4204
384	2622	4189
385	2624	4175
386	2635	4174
387	2637	4159
388	2639	4146
389	2641	4131
390	2651	4129
391	2653	4115
392	2655	4101
393	2657	4087
394	2663	4080
395	2674	4079
396	2677	4066
397	2679	4052
398	2689	4050
399	2690	4036
400	2693	4023
401	2694	4008
402	2707	4011
403	2710	3997
404	2719	3995
405	2721	3982
406	2724	3969
407	2725	3954
408	2727	3940
409	2735	3936
410	2739	3925
411	2741	3912
412	2752	3912
413	2754	3898
414	2755	3884
415	2757	3871
416	2772	3876
417	2788	3882
418	2797	3879
419	2801	3868
420	2813	3870
421	2816	3857
422	2818	3843
423	2819	3830
424	2828	3826
425	2830	3813
426	2832	3800
427	2834	3787
428	2841	3781
429	2843	3769
430	2845	3756
431	2846	3743
432	2848	3730
433	2850	3717
434	2854	3708
435	2857	3696
436	2859	3684
437	2862	3672
438	2873	3672
439	2875	3659
440	2876	3646
441	2878	3633
442	2879	3620
443	2890	3620
444	2893	3609
445	2896	3597
446	2898	3585
447	2900	3574
448	2909	3570
449	3011	3680
450	3014	3669
451	3047	3695
452	3051	3685
453	3067	3688
454	3070	3678
455	3084	3679
456	3094	3676
457	3098	3666
458	3100	3653
459	3103	3642
460	3113	3640
461	3118	3631
462	3130	3631
463	3132	3618
464	3135	3607
465	3139	3597
466	3145	3590
467	3153	3584
468	3155	3572
469	3158	3561
470	3160	3549
471	3162	3537
472	3164	3525
473	3177	3525
474	3180	3515
475	3191	3513
476	3193	3501
477	3196	3490
478	3227	3510
479	3243	3514
480	3260	3517
481	3263	3507
482	3276	3506
483	3278	3495
484	3291	3494
485	3294	3483
486	3353	3532
487	3454	3624
488	3457	3612
489	3466	3608
490	3470	3597
491	3472	3585
492	3475	3574
493	3484	3568
494	3570	3642
495	3573	3631
496	3584	3627
497	3588	3617
498	3627	3641
499	3630	3630
500	3641	3627
501	3647	3618
502	3658	3615
503	3662	3604
504	3670	3598
505	3675	3587
506	3678	3577
507	3709	3593
508	3718	3587
509	3722	3576
510	3724	3564
511	3726	3552
512	3745	3556
513	3747	3543
514	3750	3532
515	3762	3529
516	3765	3517
517	3776	3514
518	3780	3503
519	3783	3492
520	3789	3484
521	3799	3479
522	3801	3467
523	3804	3456
524	3818	3454
525	3821	3443
526	3835	3442
527	3850	3441
528	3885	3459
529	3894	3453
530	3896	3441
531	3899	3430
532	3901	3418
533	3914	3416
534	3926	3412
535	3930	3402
536	3933	3391
537	3943	3386
538	3947	3376
539	3949	3364
540	3951	3352
541	3953	3340
542	3954	3328
543	3956	3316
544	3972	3316
545	3974	3305
546	3976	3293
547	3978	3281
548	3992	3279
549	3995	3268
550	4008	3266
551	4011	3255
552	4022	3251
553	4027	3242
554	4039	3239
555	4044	3229
556	4059	3228
557	4071	3225
558	4086	3224
559	4126	3242
560	4175	3267
561	4191	3266
562	4200	3260
563	4205	3250
564	4208	3240
565	4253	3261
566	4258	3252
567	4317	3284
568	4320	3272
569	4323	3261
570	4336	3258
571	4340	3248
572	4351	3243
573	4353	3231
574	4355	3219
575	4359	3208
576	4367	3201
577	4369	3189
578	4385	3188
579	4388	3177
580	4402	3174
581	4419	3174
582	4430	3169
583	4433	3157
584	4435	3146
585	4444	3139
586	4453	3133
587	4459	3124
588	4476	3123
589	4532	3149
590	4534	3138
591	4536	3126
592	4537	3114
593	4545	3107
594	4550	3097
595	4553	3086
596	4563	3080
597	4565	3069
598	4567	3057
599	4569	3046
600	4579	3040
601	4581	3029
602	4596	3026
603	4598	3014
604	4600	3003
605	4613	2999
606	4615	2988
607	4617	2977
608	4631	2973
609	4633	2962
610	4645	2957
611	4649	2947
612	4663	2944
613	4665	2932
614	4674	2926
615	4679	2917
616	4681	2906
617	4691	2900
618	4693	2888
619	4758	2916
620	4763	2907
621	4769	2898
622	4781	2893
623	4783	2882
624	4785	2871
625	4787	2860
626	4789	2849
627	4797	2841
628	4799	2830
629	4801	2819
630	4803	2809
